square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,neighborhood_score,price
3452,2,3,45,2517,1,9,580943.0018754371
3817,1,1,11,9737,1,7,693263.5196839441
2425,5,1,5,7444,2,7,544113.6766030624
3869,3,2,16,7531,2,2,735371.7940621921
1217,2,3,18,3341,2,9,304396.57223702717
914,3,2,25,6776,3,10,278957.9159320057
1416,2,3,47,3988,1,9,265424.6039927907
1625,2,1,43,9249,3,6,328542.56280365324
2449,1,2,43,5545,1,3,401905.3531747394
2316,3,2,31,7587,0,1,448006.8472381699
3946,3,1,5,6520,3,4,754040.6391897552
1212,5,1,35,8064,1,3,292893.7333709561
1528,5,1,37,5802,1,1,327651.481348722
3868,1,2,10,7808,3,3,701019.4603908896
3608,1,3,32,5275,3,4,619386.5932162751
1475,4,2,23,5654,1,8,365409.5224150986
2692,5,3,22,9162,3,9,646398.4377989577
3304,2,2,14,4434,2,3,582346.6322833995
3767,3,2,26,6873,3,6,705234.9147633075
3039,1,1,10,8241,3,10,603843.3642321171
3586,3,3,49,9512,3,5,688586.4743656196
1922,3,2,16,7922,1,6,443702.34028906527
2371,4,2,13,2207,2,4,486964.5860435252
1777,5,1,26,7633,0,10,417841.3720743763
1808,1,1,17,7755,0,6,343830.4379568698
2943,3,3,27,9959,2,7,631487.743757817
2487,1,2,46,4633,2,9,414324.3970635193
3510,2,3,46,8309,2,10,654375.1268979842
836,4,2,3,6117,1,7,302835.9711103025
2348,2,3,6,2153,0,6,469929.02139528753
3126,1,1,44,8058,2,1,528168.1784054385
3064,1,2,34,9606,1,2,552857.0560835727
3714,5,3,47,5366,0,1,667525.8150559105
1672,3,1,8,6314,3,9,415025.5608082435
2621,3,1,7,6764,1,10,541081.1854287409
2096,2,3,44,3518,0,10,390135.72935710347
2909,4,2,16,8373,1,9,623971.4236019494
1395,3,2,16,8163,0,7,374924.8325638302
2703,5,1,48,4600,0,2,460819.65693428746
1528,2,2,32,7045,3,6,326855.4033549222
2165,2,2,31,4195,1,4,406050.87399222236
1196,5,2,7,9275,2,1,397676.9771104216
1498,4,1,18,6498,3,1,381212.7547604254
3890,5,3,37,6691,3,5,750627.6934094148
3024,4,2,2,5554,0,2,602721.0222704214
2435,5,1,4,4414,2,4,547310.6759973172
1195,5,1,12,7533,1,1,347681.0768224439
3292,1,3,46,9476,2,4,590546.8881351704
875,2,2,45,4849,2,6,187992.1086754008
1064,5,2,30,9061,2,10,344778.8177205713
3302,5,3,15,7253,2,4,706472.9476537057
2619,3,3,49,3742,2,1,472232.231421528
1517,2,1,31,3306,0,7,279539.8645851446
3582,3,1,21,5849,0,2,634214.8224699454
1650,2,3,28,6168,3,9,390933.43401956896
2190,3,2,21,6576,0,3,453366.6846520311
943,5,1,42,9519,3,8,308735.3423026279
1684,5,1,2,6655,3,8,458233.74827840895
3940,1,2,9,9493,1,3,734268.480257896
3970,3,1,41,6840,2,4,689254.4341641695
1195,4,2,20,7562,0,2,322509.3784789998
3896,1,2,15,6195,1,4,697594.9582124695
3795,3,2,11,7178,0,9,735112.9397585487
3738,3,3,1,4555,3,2,721372.3048846145
2292,1,3,40,4305,0,3,390826.32076920243
1967,5,3,23,6508,2,4,478262.0576426173
3416,3,2,34,9619,3,5,668185.1488748611
1862,5,2,29,3088,3,1,397262.41367741465
2956,1,3,29,4642,1,7,522221.73856470094
1865,5,1,46,3177,2,10,379455.6020433429
2009,2,2,34,8104,3,7,423298.97057590005
3782,4,1,18,8409,2,9,727434.6821954827
3245,3,1,49,6916,0,4,533697.562599056
1433,4,2,7,9246,2,6,440704.09984790813
1956,5,2,25,9482,3,2,487898.6341109845
2038,3,1,48,6757,1,4,364032.6869722858
1532,5,1,39,4994,3,2,324154.2598474253
1034,2,3,6,2559,2,10,282892.6367872415
3505,1,3,29,4964,2,5,587172.0136003805
1550,3,2,6,9034,3,7,435827.1928129847
3435,2,3,2,3271,2,1,635975.6241941896
3880,2,3,0,3813,0,10,725464.1210901468
3945,3,3,35,4915,3,10,720218.7657483205
1753,5,3,24,2609,1,7,415679.7063085274
3339,2,1,36,4461,3,10,594391.9793220995
3760,4,2,0,6120,0,6,738081.1658043679
2342,2,3,14,8124,0,6,519133.8104330052
1997,5,1,36,2283,0,8,399111.0156101507
2476,5,1,12,7568,0,8,554289.072606233
1991,4,1,39,4928,0,6,384962.3595458603
3017,2,3,7,6396,1,3,596933.6675066239
2216,5,3,4,3091,2,5,527166.8858041874
3793,3,2,8,7126,0,2,735301.3101340455
3642,1,3,0,2816,0,5,660516.0623263131
3481,1,3,35,9304,3,9,657276.0837323344
2017,1,1,34,9331,1,10,393556.90680045355
2340,2,2,1,2082,1,1,432979.43335075665
2876,4,3,39,3920,2,10,555515.3178945959
2245,5,3,22,9817,1,5,567986.0815486391
3186,3,1,8,5491,3,6,609538.3214341035
2319,3,1,33,5144,3,7,433739.10631823307
2188,2,3,45,9404,2,9,455502.6773623407
2656,1,2,13,4093,3,6,486483.4521515274
2165,2,2,3,6713,0,5,462954.76552884787
1299,4,1,29,9071,0,7,339324.01418271824
2480,4,1,30,9967,3,1,511013.8259580985
1310,5,3,37,8405,2,5,366808.7815378363
1016,5,1,10,2175,1,2,287184.2791678731
2124,4,3,34,7285,2,4,457376.3021776904
1955,4,2,7,4704,1,7,446311.2786550516
2627,4,2,2,6937,3,5,593119.750204661
3941,2,3,13,2369,3,6,714159.5550250985
2610,4,1,12,3818,0,2,504710.7819200311
3292,3,2,44,4101,1,3,546164.1892188438
3723,1,1,31,6785,2,7,630743.587975156
2005,4,2,33,5490,3,2,403192.9256714035
3014,1,3,44,3779,2,6,499837.05653775035
890,2,3,18,9674,0,5,298074.3503140364
1513,1,3,37,3364,1,10,282496.9152590428
2681,2,2,15,9294,1,1,553149.2451179642
838,3,1,1,7528,3,10,307705.0390104696
3997,2,1,39,6462,1,4,669449.0899325357
972,2,1,16,5342,3,2,244764.9366559525
1452,5,2,33,6739,0,4,357824.4741012183
1553,4,2,41,5676,1,1,325511.2636463169
2043,4,2,15,4426,3,2,450637.35234189057
1881,3,2,37,2072,2,8,365072.82896417717
2483,3,2,1,4962,3,6,532303.2087252899
3323,4,1,1,7367,1,2,668494.807608534
1255,5,2,25,2859,0,6,325203.0289207248
1628,4,2,12,5856,1,10,417804.6506481614
1694,5,1,46,6138,1,9,379485.3307733159
2184,3,2,30,4424,3,7,454834.3598300871
2758,1,1,33,3064,2,9,446322.0497305837
3872,3,1,38,4217,1,5,648783.623265753
3234,3,3,2,6017,2,7,665733.0771866015
2796,2,3,7,4259,3,7,576537.3329806781
3195,2,3,22,7612,2,3,617364.2398598677
989,2,3,13,5751,3,7,305590.38282160216
1304,2,2,26,4086,0,1,251004.27927964606
2014,5,3,28,2368,2,9,435169.1658443283
2331,4,1,38,4804,2,10,461722.52064749505
1623,1,2,38,2150,0,6,236315.96847520545
1728,3,3,0,3134,2,5,417366.4950775746
1733,5,1,16,7599,0,7,449351.8186641997
1940,1,2,40,7555,1,5,358468.97735873034
933,5,2,29,7166,3,10,348093.42644789815
2905,5,3,12,7119,0,5,653191.0915258178
1484,3,2,20,7694,2,10,383001.01611674426
3519,4,1,18,4784,0,7,655963.1337985144
3020,2,2,18,8136,2,10,607886.2929745556
2652,4,1,24,7485,1,7,529828.2323665387
1614,3,2,21,6164,0,3,351336.0108351565
1972,3,3,30,4346,1,3,392652.3909302014
879,3,1,16,7039,3,10,269877.7949714406
3733,1,2,22,6897,2,3,654394.9346825164
1002,4,2,31,8439,2,6,308199.2815534696
3611,4,2,9,4250,1,6,682421.0609868843
2052,5,1,9,2060,3,3,453442.12865277333
2499,5,1,35,7041,0,3,506418.7274469096
2050,5,1,7,5010,0,8,484870.3447886489
2482,3,3,19,5901,2,8,529069.3182479104
2355,4,3,31,3337,1,7,481534.4215175185
2894,3,1,49,3184,1,10,484742.2036047669
2056,1,2,13,6426,0,4,411734.0356971969
2349,5,3,49,3551,3,4,453613.8774956524
1966,3,1,27,6433,3,3,406996.0076551118
2196,3,2,45,3629,0,5,392644.8065082548
3503,1,3,23,3327,0,3,580753.7094138827
1270,2,2,14,3526,1,8,317739.3933913243
3818,4,2,21,3673,3,7,708173.6906601462
1835,2,2,29,3361,0,3,330184.0701334014
2153,5,2,3,3573,0,9,502955.14403993665
3583,3,3,12,4686,2,5,692542.7083592026
3631,1,3,22,6370,0,9,638927.7830736473
1767,1,3,7,7283,0,7,404419.5820118328
1157,4,1,17,9610,3,7,355728.78799651435
3819,2,3,11,4366,1,6,703863.3834789229
1467,4,2,30,8732,3,2,388314.4737550891
1172,3,3,13,8647,1,9,379730.0618711455
1831,4,2,33,5757,2,6,380503.4063914111
1945,1,1,17,4434,0,8,381510.6965292788
2171,1,2,33,3993,2,1,365532.7994062087
3523,5,2,10,2869,1,5,679375.00859507
889,5,2,40,8976,3,1,292681.2791899094
3545,3,1,11,3014,3,10,661651.8982250269
1339,2,3,48,3911,2,8,256291.51283048437
3579,4,3,14,2602,1,8,690849.1666734208
1668,3,1,30,5821,2,1,330335.2771237969
840,5,2,48,7895,2,9,271906.38007309975
1539,4,3,28,2690,0,2,325887.2086424492
2746,5,1,25,2493,2,9,524503.2871026035
3349,4,3,17,2489,0,1,622698.3647021538
3806,2,1,31,8864,0,10,688392.9943651634
2024,3,2,21,9240,3,9,491148.83596076374
1728,4,3,37,4556,0,4,375959.25252635236
2836,1,1,16,6485,0,9,523493.40210014867
3308,1,3,22,9786,3,7,645732.745017831
3579,4,3,23,2294,2,6,675186.6386443119
3599,4,3,49,7488,1,5,648154.8246015806
1724,4,3,7,6027,1,9,452863.2861748752
3756,1,1,40,4843,1,2,568187.9992857676
2381,1,2,5,4912,2,2,473070.5605913931
1189,4,1,4,3717,0,9,338947.88514140074
2417,5,1,43,4596,1,3,456383.05237044994
3730,5,1,28,6744,2,8,730659.298652118
1055,2,2,27,3873,0,9,231187.1721758801
1508,3,3,10,6663,3,8,420315.9511986098
2638,5,3,0,5258,1,4,609028.2557161683
2744,1,3,42,8996,0,1,494028.8210388491
3297,5,2,18,4817,1,4,652567.757674478
809,2,3,8,2444,1,9,242940.5711158992
3671,2,2,26,5641,1,2,641469.0851856099
1597,3,3,33,6458,0,3,360891.6916719123
1676,5,3,43,8266,2,10,426376.548051532
1828,1,1,3,7307,0,8,399659.24328647624
3990,1,2,35,2741,1,6,618325.5936635835
1815,4,1,17,4041,0,8,372679.3898250706
2624,1,1,14,2679,3,7,465394.5963141373
1173,3,1,12,4467,2,5,302709.0535625463
3936,3,2,18,5697,0,9,730990.6680908672
2993,1,2,48,9419,3,4,504644.3828224563
1023,1,3,5,7738,2,6,310321.50569923525
2062,4,1,47,7668,3,2,385796.5223994892
3024,1,3,11,3358,2,2,559877.0110765419
2602,4,1,36,8235,0,2,490789.45417881914
1652,4,2,16,9697,3,10,480324.03609459894
862,1,2,22,2062,1,7,191378.69643684145
2040,2,2,25,9829,3,2,436284.0964746394
3674,2,1,28,4559,2,2,600362.1504873226
3642,4,2,32,7258,0,9,695383.7021638633
1488,1,1,26,5769,2,7,286446.7596281693
2284,2,3,24,9352,3,3,498144.8464215821
2433,1,1,9,7324,3,3,474361.72409193084
2952,1,3,46,8915,1,7,513138.4158553437
3970,1,1,22,9381,0,5,673005.3198087554
1310,5,3,20,6351,0,10,397276.84248494596
1184,1,2,20,2134,3,6,236324.42253669375
1204,5,3,42,5644,0,8,316509.1018308587
3670,4,2,12,6970,1,9,745158.6383909378
1317,2,2,36,6917,2,1,289454.4227663244
1275,2,3,32,4135,0,3,259874.55278638192
2800,2,1,23,9131,3,7,552904.0129309014
3556,2,1,43,5278,2,6,588181.4303311389
2468,2,1,10,9296,2,7,515590.64430300426
2693,2,1,16,2822,1,8,486401.53054747696
3618,2,1,3,5074,3,6,680958.8597182216
2260,4,2,46,7069,0,3,443492.3020841763
3894,1,1,24,4981,3,2,622542.4729749754
3844,3,2,29,7873,2,7,710716.4473019106
3524,5,2,8,2120,3,1,673017.3674717654
1513,3,2,20,9552,0,3,382468.86954409216
882,3,3,19,3637,0,4,252477.44579767983
1968,1,3,18,9205,1,1,439217.1040744598
3956,1,2,18,7460,0,5,692050.3451963193
3949,1,3,11,7103,0,10,731404.2750169078
3304,2,1,36,2924,3,3,543336.7201887874
2701,4,1,41,2644,3,2,468555.7693853031
2848,2,2,16,4032,2,3,537196.5151118798
850,4,1,36,4761,1,8,229997.28003009837
1484,4,2,47,9003,3,6,350058.8338128673
1516,3,2,38,4068,0,7,289748.7164522219
2269,3,1,27,2241,2,6,396244.8775094107
1248,4,3,40,8598,3,6,357800.51834758476
1680,4,1,34,9106,1,3,395945.9682308701
1287,2,1,46,4668,1,8,250223.62141386382
2623,2,2,47,8446,2,7,493341.0533232324
2881,3,2,17,7715,2,7,607928.3857753498
2942,1,2,13,9762,2,6,585119.8366734631
3943,4,2,34,2802,2,5,674905.8418325614
2374,2,3,43,7059,2,10,474190.7933241755
3001,3,3,40,6164,0,8,564966.807522394
1049,2,3,6,7248,0,5,318904.44374340895
1473,4,2,40,2195,3,9,318773.7148063299
1237,4,2,12,4187,1,9,348651.85482458206
2965,5,2,17,5515,0,1,611738.1685985356
1570,1,3,36,4330,0,6,302749.85584816954
1067,5,2,12,4359,0,7,336082.2035234035
2784,3,1,35,6841,3,3,523468.02872562926
1877,2,1,30,5606,2,7,368750.62552424776
1035,3,2,1,7784,3,7,352478.3026796538
1188,4,1,15,2276,1,2,284525.6467491314
3837,5,1,8,2060,1,7,707205.0493114074
1562,5,3,8,5390,1,1,435738.91552295885
2648,5,2,37,3913,1,5,500384.77060233965
3248,3,2,10,8195,0,9,669008.0328679474
1423,4,3,21,5927,0,7,368268.4604157384
3614,2,1,32,8296,3,7,657593.8898307442
3766,2,1,35,7868,2,2,644240.7477407209
2052,3,2,44,7430,1,8,397152.4404183667
3700,5,1,22,7933,3,3,733536.9963101848
1377,1,3,44,4591,0,8,247680.79223167288
2922,3,3,44,2566,0,3,498771.46720813366
1234,3,2,33,5935,2,10,308463.25688734406
2950,4,3,8,9556,2,7,682014.2098538803
1563,2,3,23,3571,2,2,315584.3104498479
3585,3,2,7,6717,3,4,702026.6776857264
3653,3,3,6,8121,0,6,735573.6136389892
2129,5,3,35,3200,0,9,461917.0248024255
2945,5,3,17,9529,2,5,689813.7708780549
3645,1,1,2,6409,1,9,665788.2824825712
2158,4,2,27,4854,2,5,464008.4814465768
3706,1,2,5,4895,3,10,668153.225822743
3282,5,2,43,8240,2,8,640758.1059890771
1246,2,1,43,9024,2,1,249552.21543813226
2817,5,1,20,3236,3,7,552384.9131055928
2131,4,2,27,8972,2,4,471534.1161021242
1048,5,1,39,2136,0,5,234689.98912137796
965,4,2,0,3029,1,6,305899.3230227214
3831,4,1,35,9154,2,5,719984.053976051
2158,4,3,20,4156,3,1,475164.72686121514
1819,4,3,42,4594,1,9,394446.1699317253
1341,4,2,34,9206,3,2,362787.63176150376
1558,2,1,12,2661,1,9,322614.6771375773
3977,1,1,48,4472,1,10,603400.0661169426
2928,3,3,9,4677,2,2,599548.141808208
2980,1,3,43,4308,0,9,490188.87867218873
1596,4,1,46,9593,2,6,356974.0370123757
3747,2,1,9,2086,3,9,660130.821241956
937,5,1,45,4512,3,6,234541.89080703486
3031,2,1,12,8219,1,6,586665.6961801057
2153,4,1,36,8614,1,2,446530.5392156347
3632,2,1,37,8557,0,8,638853.4173924612
2675,2,2,23,8968,2,3,524951.6993357437
3831,4,1,1,4942,3,7,748192.9462705125
868,2,3,21,4773,1,5,251673.33004770245
3393,3,2,16,4504,0,3,625954.0011773395
2900,3,1,35,7404,3,1,552790.6503934854
2273,2,3,13,5310,1,8,493851.2817374153
1004,5,2,9,3700,3,3,335042.9306855994
2973,4,3,34,5670,0,2,551771.314495442
842,3,1,24,4700,0,1,210938.60351633423
2706,5,1,2,8815,3,4,631518.9319830309
2958,2,1,46,5629,2,8,491480.1819646175
1560,5,1,37,9539,3,3,396070.1534053253
3695,1,2,16,6590,1,1,655602.1153461148
2942,3,2,11,3647,2,4,572778.3159100421
2794,2,3,23,8038,1,9,561695.2619865794
2735,4,1,28,7164,3,1,546314.5891359262
1699,2,3,42,7520,2,2,340674.12457924034
1159,4,2,24,5318,1,9,323196.83118964283
3747,2,1,35,5687,3,2,621886.4993252286
2519,5,1,25,2596,3,3,490621.3374826437
1080,5,2,37,6545,2,7,322112.4297504051
2687,5,2,0,2484,3,3,571488.0628018411
1466,1,2,19,2645,0,9,304801.95074276935
892,4,2,27,8763,1,6,282219.13930705504
1471,5,2,15,5089,1,3,379563.3231674514
2769,1,1,46,7725,3,9,481302.1188994174
860,4,2,16,6757,3,1,298413.1416643531
3481,2,1,39,6853,0,10,596675.242794283
3922,1,1,27,6384,2,3,651566.0929699846
1828,3,2,11,9581,3,1,460115.5008532762
2289,1,2,26,2720,3,2,387239.3052254232
1403,1,1,41,6733,3,8,283711.81257934903
1481,4,2,46,8378,3,7,368323.491142316
3381,2,2,29,8559,1,2,624468.2435100563
2228,3,2,40,9081,3,2,446348.43276629585
3685,5,3,33,2498,1,9,687936.115755943
3492,5,1,36,9117,3,6,687965.3405127929
3080,1,3,5,6729,2,5,599233.9862431054
1323,4,2,6,3673,0,10,366781.6418394577
3193,4,3,31,8126,2,6,645833.5424222018
3917,5,2,31,5067,3,9,754774.0382985023
3393,3,3,24,2114,3,7,612388.0843710566
2768,2,2,32,4979,3,10,533180.4061284182
1901,3,3,6,6769,2,10,476876.67341407936
2553,2,3,11,3736,3,9,527503.0233720044
2636,5,3,15,7353,2,4,613848.5931038806
3944,2,1,15,5611,1,2,678003.5956979989
3641,4,3,42,9178,0,8,711454.6864343295
3096,1,1,35,4253,0,4,471638.16402199585
2894,1,2,12,9846,2,9,610081.1769918256
1944,5,3,6,4294,1,4,484681.4926496576
3061,4,2,35,5630,2,8,583485.8859203112
3086,3,2,46,8901,1,9,578918.1822757256
1879,4,3,8,9294,3,9,533879.1926939272
3197,1,1,31,2146,1,10,503165.4470814956
906,1,3,10,8261,1,4,273016.42310577224
3678,4,2,7,5982,1,1,713304.6340241627
847,4,2,32,5453,0,3,224810.37887230032
1136,1,3,22,6507,1,9,306675.43907941814
1849,3,1,24,7783,3,4,403516.05408785277
3651,5,1,7,9751,3,5,784476.167861804
2080,5,2,44,4410,3,7,436194.70083647774
2855,4,2,21,7628,1,5,582684.6594951804
1424,5,1,3,2136,2,4,365900.4529078727
2690,1,3,39,9342,2,2,507760.0277931075
2076,1,2,2,5360,3,2,430117.38664913696
2515,4,1,28,5005,0,4,490231.12945851026
3566,4,2,40,5552,2,10,670635.1539278186
1102,4,3,28,2018,1,10,298669.1485465833
1438,3,1,33,4242,2,9,299523.43227727
855,5,2,33,8473,3,8,305181.5755221851
1525,4,3,27,8055,0,3,383164.12394637207
1325,2,2,12,8318,2,9,366892.4094066672
1273,2,3,14,7097,2,5,349377.8671353236
827,1,3,22,2448,3,3,171814.28595239553
2925,5,1,43,3948,0,5,522148.8679838825
1164,4,3,25,2945,0,10,310630.89225323184
3513,2,2,3,7473,3,4,689904.5574368445
1325,5,3,25,7618,1,8,411842.7383901588
3546,1,3,39,6236,2,5,610477.8007425087
2135,3,1,8,8901,1,10,516361.919080809
1682,5,3,4,3920,2,8,460340.39479649765
1830,5,3,31,4977,2,9,453644.77492506924
1826,3,2,19,6188,1,4,421130.6639452752
2446,5,1,49,6015,3,7,493166.93449272664
1718,1,1,10,2238,3,2,305158.5840657127
3597,1,1,14,2204,2,6,594053.2392245762
3210,3,3,31,4607,3,8,606118.352945502
2574,4,1,27,7552,2,7,538512.5453507632
2331,2,3,21,6340,3,7,498913.5355501453
3653,4,3,40,6927,2,8,687831.0732597426
3586,5,2,16,5388,3,7,726458.3851391694
2706,2,2,25,4972,0,5,470420.72667843866
3886,3,2,43,6390,1,7,691219.4500580189
2015,3,2,6,4687,0,10,451996.2575932331
